STUSPS	NAME	INTPTLONG	INTPTLAT
AL	Georgiana town	-86.746762	31.639134
AL	Geraldine town	-86.003004	34.359264
AL	Gilbertown town	-88.319489	31.875791
AL	Glen Allen town	-87.732682	33.892108
AL	Glencoe city	-85.934313	33.939389
AL	Glenwood town	-86.173687	31.671266
AL	Goldville town	-85.777982	33.084867
AL	Good Hope town	-86.865195	34.109835
AL	Goodwater town	-86.052462	33.06066
AL	Gordo town	-87.903681	33.322286
AL	Gordon town	-85.093418	31.143804
AL	Gordonville town	-86.715588	32.155711
AL	Goshen town	-86.123245	31.720015
AL	Grant town	-86.258498	34.516335
AL	Graysville city	-86.967319	33.658257
AL	Greensboro city	-87.5937	32.700968
AL	Greenville city	-86.636928	31.843074
AL	Grimes town	-85.450292	31.299857
AL	Grove Hill town	-87.773845	31.702294
AL	Guin city	-87.901804	33.982923
AL	Gulf Shores city	-87.701855	30.273431
AL	Guntersville city	-86.252323	34.368849
AL	Gurley town	-86.37433	34.702471
AL	Gu-Win town	-87.870368	33.944319
AL	Hackleburg town	-87.830095	34.269167
AL	Haleburg town	-85.138068	31.409976
AL	Haleyville city	-87.617574	34.233832
AL	Hamilton city	-87.970837	34.13871
AL	Hammondville town	-85.640252	34.566264
AL	Hanceville city	-86.764436	34.06401
AL	Harpersville town	-86.428431	33.317725
AL	Hartford city	-85.691225	31.105348
AL	Hartselle city	-86.94029	34.440378
AL	Hayden town	-86.755843	33.894221
AL	Hayneville town	-86.578588	32.182595
AL	Headland city	-85.357031	31.354974
AL	Heath town	-86.46905	31.344839
AL	Heflin city	-85.569339	33.6474
AL	Helena city	-86.874488	33.285635
AL	Henagar city	-85.730918	34.630641
AL	Highland Lake town	-86.42276	33.889678
AL	Hillsboro town	-87.178489	34.642586
AL	Hobson City town	-85.846146	33.618801
AL	Hodges town	-87.92316	34.334246
AL	Hokes Bluff city	-85.862873	33.989682
AL	Holly Pond town	-86.611799	34.167187
AL	Hollywood town	-85.965579	34.717279
AL	Homewood city	-86.809414	33.459024
AL	Hoover city	-86.805579	33.376949
AL	Horn Hill town	-86.325104	31.238158
AL	Hueytown city	-87.014251	33.421567
AL	Huntsville city	-86.538996	34.784271
AL	Hurtsboro town	-85.41467	32.24009
AL	Hytop town	-86.085258	34.906402
AL	Ider town	-85.669042	34.702161
AL	Indian Springs Village city	-86.747019	33.361189
AL	Irondale city	-86.661677	33.539995
AL	Jackson city	-87.891183	31.532321
AL	Jacksons' Gap town	-85.815046	32.884019
AL	Jacksonville city	-85.758288	33.806214
AL	Jasper city	-87.27074	33.854951
AL	Jemison city	-86.73307	32.970705
AL	Kansas town	-87.556598	33.902808
AL	Kellyton town	-86.034608	32.979189
AL	Kennedy town	-87.986179	33.580891
AL	Killen town	-87.531023	34.859983
AL	Kimberly town	-86.797067	33.775853
AL	Kinsey town	-85.335473	31.292662
AL	Kinston town	-86.170075	31.219604
AL	La Fayette city	-85.400795	32.899427
AL	Lakeview town	-85.975704	34.391629
AL	Lake View town	-87.1413	33.281696
AL	Lanett city	-85.207739	32.857871
AL	Langston town	-86.09301	34.544912
AL	Leeds city	-86.562059	33.541333
AL	Leesburg town	-85.777655	34.178778
AL	Leighton town	-87.529116	34.698625
AL	Lester town	-87.155535	34.982751
AL	Level Plains town	-85.768754	31.307088
AL	Lexington town	-87.37283	34.959351
AL	Libertyville town	-86.46015	31.24398
AL	Lincoln city	-86.070637	33.622176
AL	Linden city	-87.792439	32.301015
AL	Lineville city	-85.752278	33.312832
AL	Lipscomb city	-86.926026	33.426054
AL	Lisman town	-88.284092	32.171729
AL	Littleville town	-87.670739	34.595132
AL	Livingston city	-88.186929	32.595549
AL	Loachapoka town	-85.598479	32.607946
AL	Lockhart town	-86.350273	31.013011
AL	Locust Fork town	-86.647052	33.87674
AL	Louisville town	-85.558336	31.781047
AL	Lowndesboro town	-86.610848	32.276422
AL	Loxley town	-87.739629	30.686187
AL	Luverne city	-86.269082	31.718941
AL	Lynn town	-87.548639	34.057592
AL	McIntosh town	-88.028369	31.264957
AL	McKenzie town	-86.725954	31.54647
AL	McMullen town	-88.175736	33.148104
AL	Madison city	-86.76228	34.710533
AL	Madrid town	-85.397845	31.035771
AL	Magnolia Springs town	-87.774421	30.403095
AL	Malvern town	-85.522973	31.143698
AL	Maplesville town	-86.87665	32.788282
AL	Margaret town	-86.469046	33.671377
AL	Marion city	-87.317333	32.631968
AL	Maytown town	-86.999872	33.549016
AL	Memphis town	-88.305942	33.137044
AL	Mentone town	-85.58369	34.567057
AL	Midfield city	-86.922633	33.455197
AL	Midland City town	-85.493573	31.315602
AL	Midway town	-85.524417	32.076373
AL	Millbrook city	-86.374456	32.502054
AL	Millport town	-88.082382	33.555935
AL	Millry town	-88.326494	31.624741
AL	Mobile city	-88.100226	30.668426
AL	Monroeville city	-87.327714	31.516223
AL	Montevallo city	-86.846924	33.125869
AL	Montgomery city	-86.268593	32.346251
AL	Moody city	-86.493795	33.603417
AL	Mooresville town	-86.879997	34.626964
AL	Morris town	-86.804439	33.746735
AL	Mosses town	-86.67919	32.188824
AL	Moulton city	-87.282707	34.488302
AL	Moundville town	-87.627288	32.996488
AL	Mountain Brook city	-86.73447	33.491489
AL	Mount Vernon town	-88.01345	31.08794
AL	Mulga town	-86.973293	33.552891
AL	Munford town	-85.952543	33.529059
AL	Muscle Shoals city	-87.633767	34.742657
AL	Myrtlewood town	-87.949261	32.252083
AL	Napier Field town	-85.454901	31.31487
AL	Natural Bridge town	-87.601409	34.090354
AL	Nauvoo town	-87.488491	33.986933
AL	Nectar town	-86.620614	33.979779
AL	Needham town	-88.336563	31.987
AL	Newbern town	-87.535765	32.5908
AL	New Brockton town	-85.925179	31.367723
AL	New Hope city	-86.412372	34.537972
AL	New Site town	-85.781429	33.028086
AL	Newton town	-85.588307	31.341229
AL	Newville town	-85.336687	31.420604
AL	North Courtland town	-87.306287	34.680349
AL	North Johns town	-87.100888	33.368055
AL	Northport city	-87.596404	33.257693
AL	Notasulga town	-85.668577	32.555409
AL	Oak Grove town	-86.303338	33.190033
AL	Oak Hill town	-87.085234	31.92162
AL	Oakman town	-87.388699	33.714322
AL	Odenville town	-86.423371	33.700875
AL	Ohatchee town	-86.029067	33.78976
AL	Oneonta city	-86.490517	33.946774
AL	Onycha town	-86.27705	31.223543
AL	Opelika city	-85.37889	32.660739
AL	Opp city	-86.257442	31.284375
AL	Orange Beach city	-87.586681	30.293833
AL	Orrville town	-87.245447	32.306769
AL	Owens Cross Roads town	-86.455027	34.585458
AL	Oxford city	-85.871171	33.597601
AL	Ozark city	-85.645035	31.451615
AL	Paint Rock town	-86.333995	34.660898
AL	Parrish town	-87.280127	33.732321
AL	Pelham city	-86.742177	33.321899
AL	Pell City city	-86.268757	33.560781
AL	Pennington town	-88.055777	32.20696
AL	Perdido Beach town	-87.505784	30.353903
AL	Petrey town	-86.203438	31.850715
AL	Phenix City city	-85.025021	32.46167
AL	Phil Campbell town	-87.706319	34.351539
AL	Pickensville town	-88.289443	33.235783
AL	Piedmont city	-85.615442	33.926035
AL	Pike Road town	-86.033007	32.311887
AL	Pinckard town	-85.536397	31.319154
AL	Pine Apple town	-86.989059	31.872155
AL	Pine Hill town	-87.587516	31.985884
AL	Pine Ridge town	-85.784018	34.44795
AL	Pinson city	-86.669741	33.703291
AL	Pisgah town	-85.84601	34.684366
AL	Pleasant Grove city	-86.978217	33.493607
AL	Pleasant Groves town	-86.205431	34.73481
AL	Pollard town	-87.172979	31.023877
AL	Powell town	-85.897879	34.532534
AL	Prattville city	-86.461264	32.462235
AL	Priceville town	-86.881676	34.524483
AL	Prichard city	-88.130721	30.773095
AL	Providence town	-87.776115	32.342386
AL	Ragland town	-86.139329	33.746948
AL	Rainbow City city	-86.084228	33.928777
AL	Rainsville city	-85.836548	34.494442
AL	Ranburne town	-85.339013	33.525853
AL	Red Bay city	-88.136455	34.436419
AL	Red Level town	-86.606217	31.406711
AL	Reece City town	-86.034461	34.077307
AL	Reform town	-88.017297	33.378214
AL	Rehobeth town	-85.4398	31.124595
AL	Repton town	-87.238931	31.409716
AL	Ridgeville town	-86.102874	34.056939
AL	River Falls town	-86.544609	31.352398
AL	Riverside town	-86.204358	33.616394
AL	Riverview town	-87.077437	31.061143
AL	Roanoke city	-85.369526	33.145305
AL	Robertsdale city	-87.70471	30.557139
AL	Rockford town	-86.208345	32.896866
AL	Rogersville town	-87.283266	34.828033
AL	Rosa town	-86.500325	33.992756
AL	Russellville city	-87.728192	34.505737
AL	Rutledge town	-86.302009	31.724072
AL	St. Florian town	-87.623535	34.86698
AL	Samson city	-86.046735	31.112417
AL	Sand Rock town	-85.771561	34.2302
AL	Sanford town	-86.398859	31.29882
AL	Saraland city	-88.094117	30.831585
AL	Sardis City town	-86.119104	34.172413
AL	Satsuma city	-88.063383	30.857874
